Title,Description,Assigned To,Due Date,Tags,Category,Source
Setup C++ JNI project skeleton,"Создать `packages/pass-thru-jni` с CMakeLists, Gradle-модулем и базовой JNI-структурой (`PassThruBridge`).",C++ Developer,2025-10-27,stage1; jni; setup,1. JNI Layer,docs/internal/stage1-pass-thru-backlog.md
Implement PassThruOpen/Close bindings,"Реализовать функции `passThruOpen`, `passThruClose` с управлением дескрипторами и обработкой ошибок.",C++ Developer,2025-10-29,stage1; jni; pass-thru,1. JNI Layer,docs/internal/stage1-pass-thru-backlog.md
Implement PassThruConnect/Disconnect bindings,"Поддержать протоколы ISO9141, ISO15765, ISOPWM; добавить маппинг параметров.",C++ Developer,2025-11-01,stage1; jni; pass-thru,1. JNI Layer,docs/internal/stage1-pass-thru-backlog.md
Implement Read/Write Msgs,"Встроить буферизацию сообщений, обработку таймаутов и JNI-обмен массивами.",C++ Developer,2025-11-05,stage1; jni; messaging,1. JNI Layer,docs/internal/stage1-pass-thru-backlog.md
Implement Ioctl operations,"Поддержать `SET_CONFIG`, `READ_VBATT`, `SET_PROGRAMMING_VOLTAGE`, `FAST_INIT`.",C++ Developer,2025-11-07,stage1; jni; ioctl,1. JNI Layer,docs/internal/stage1-pass-thru-backlog.md
JNI Unit Tests (loopback),"Настроить GoogleTest, реализовать loopback-драйвер, проверить открытие/чтение/запись.",QA + C++,2025-11-08,stage1; testing,1. JNI Layer,docs/internal/stage1-pass-thru-backlog.md
Kotlin interface & error model,"Реализовать интерфейсы `PassThruClient`, `PassThruSession`, классы ошибок из `docs/tech/pass-thru-client-spec.md`.",Kotlin Developer,2025-11-03,stage1; kotlin,2. Kotlin PassThruClient,docs/internal/stage1-pass-thru-backlog.md
JNI binding integration,"Подключить `pass-thru-jni` через Gradle, реализовать маппинг ошибок и конвертацию структур.",Kotlin Developer,2025-11-05,stage1; kotlin; jni,2. Kotlin PassThruClient,docs/internal/stage1-pass-thru-backlog.md
Session lifecycle management,"Управление каналами, автоматическое переподключение, таймауты.",Kotlin Developer,2025-11-07,stage1; kotlin,2. Kotlin PassThruClient,docs/internal/stage1-pass-thru-backlog.md
"Diagnostic flows (DTC read/clear, PID read)","Сценарии поверх PassThruClient, логирование запросов/ответов.",Kotlin Developer,2025-11-12,stage1; diagnostics,2. Kotlin PassThruClient,docs/internal/stage1-pass-thru-backlog.md
Node adapter for PassThruClient,"Создать модуль `apps/kiosk-agent/src/devices/passThruClient.ts`, реализовать HTTP API.",Node Developer,2025-11-10,stage1; agent,3. Kiosk Agent Integration,docs/internal/stage1-pass-thru-backlog.md
DTC package importer to SQLite,"Реализовать `apps/kiosk-agent/src/dtc/importer.ts`, импорт `.obdresource` в SQLite базу.",Node Developer,2025-11-05,stage1; data,3. Kiosk Agent Integration,docs/internal/stage1-pass-thru-backlog.md
Agent logging pipeline,"Настроить логирование операций диагностики и импорта в формате JSONL, интеграция с мониторингом.",Node Developer,2025-11-12,stage1; logging,3. Kiosk Agent Integration,docs/internal/stage1-pass-thru-backlog.md
Dev simulator,Реализовать mock PassThruClient для DEV окружения без адаптера.,Node Developer,2025-11-07,stage1; testing,3. Kiosk Agent Integration,docs/internal/stage1-pass-thru-backlog.md
Agent signature verification,"Интегрировать Python `verify_package` в агент, обеспечить проверку архива/подписи.",Security Engineer + Node Developer,2025-11-03,stage1; security,4. Security & Ops,docs/internal/stage1-pass-thru-backlog.md
Audit log shipper integration,"Отправка лога диагностики в SIEM, проверка совместимости с требованиями Stage 0.",SecOps,2025-11-15,stage1; logging,4. Security & Ops,docs/internal/stage1-pass-thru-backlog.md
Review & harden JNI native layer,"Провести код-ревью C++ слоя, проверить обработку ошибок и освобождение ресурсов.",Security + C++ Lead,2025-11-15,stage1; review,4. Security & Ops,docs/internal/stage1-pass-thru-backlog.md
Implement JNI unit tests (GoogleTest),"Реализовать тесты из `docs/tech/stage1-test-plan.md` (JNI-001–JNI-003), интегрировать в CI.",QA + C++ Dev,2025-11-08,stage1; testing; jni,5. Testing & QA,docs/internal/stage1-pass-thru-backlog.md
Kotlin test suite,"Написать тесты KOT-001–KOT-002 с MockK, покрыть ошибки и таймауты.",Kotlin Dev,2025-11-09,stage1; testing; kotlin,5. Testing & QA,docs/internal/stage1-pass-thru-backlog.md
Agent API tests,"Реализовать AGT-001–AGT-004 (Node Test Runner + supertest), добавить в CI.",Node Dev,2025-11-12,stage1; testing; agent,5. Testing & QA,docs/internal/stage1-pass-thru-backlog.md
Security negative tests,"Выполнить SEC-001 сценарий (импорт неподписанных пакетов), задокументировать результаты.",SecOps,2025-11-14,stage1; testing; security,5. Testing & QA,docs/internal/stage1-pass-thru-backlog.md
Performance benchmark,Собрать метрики PERF-001 (latency PID read) на loopback адаптере.,QA,2025-11-16,stage1; testing; performance,5. Testing & QA,docs/internal/stage1-pass-thru-backlog.md
Prepare end-to-end demo script,Сценарий демонстрации для руководства: виртуальный адаптер → чтение DTC → отчёт.,Product + QA,2025-11-18,stage1; demo,6. Demo & Documentation,docs/internal/stage1-pass-thru-backlog.md
Update documentation,"Обновить `docs/tech/stage1-kiosk-agent-plan.md`, `docs/windows-app-analysis.md`, `docs/internal/update-playbook.md` по итогам Stage 1.",Tech Writer / Release,2025-11-20,stage1; docs,6. Demo & Documentation,docs/internal/stage1-pass-thru-backlog.md
