Title,Description,Assigned To,Due Date,Tags,Category,Source
Secure offline storage for private key,Подготовить аппаратный сейф с шифрованием диска для хранения приватного Ed25519 ключа. Настроить журнал доступа с процедурой two-person rule.,Lead инфраструктуры; Release инженер,2025-10-20,security; key-management,1. Ключевая инфраструктура,docs/internal/update-security-boards-backlog.md
Publish public key to agent configs,"Добавить `keys/public_ed25519.pem` в репозиторий конфигурации агента и pipeline фронтенда, обеспечить доставку на киоски.",DevOps,2025-10-17,agent; config; security,1. Ключевая инфраструктура,docs/internal/update-security-boards-backlog.md
Schedule annual key rotation,"Настроить напоминание в Azure DevOps/Calendar, подготовить процедуру `key rollover`, указать ответственных.",Release инженер,2025-11-01,key-management; schedule,1. Ключевая инфраструктура,docs/internal/update-security-boards-backlog.md
Enforce MFA on package storage,"Настроить bucket/Blob `dtc-packages` с MFA delete/RBAC, ограничить доступ согласно требованиям.",DevOps,2025-10-24,infrastructure; storage; security,2. Репозиторий обновлений,docs/internal/update-security-boards-backlog.md
Enable access logging for package storage,"Включить S3 Access Logs или Azure Storage Diagnostics, настроить экспорт в SIEM (`logs/update-distribution`).",SecOps,2025-10-24,logging; siem,2. Репозиторий обновлений,docs/internal/update-security-boards-backlog.md
Configure retention policy for package storage,Настроить lifecycle (Glacier/Azure Archive) с хранением 24 месяца.,Infra,2025-10-31,retention; storage,2. Репозиторий обновлений,docs/internal/update-security-boards-backlog.md
Implement kiosk update cache fallback,"Добавить tmpfs→disk fallback для `/data/updates/dtc`, провести тест на сбой питания.",Команда агент,2025-10-28,agent; reliability,3. Киоск: кэш и офлайн-доставка,docs/internal/update-security-boards-backlog.md
Enforce dual-file verification on kiosk,Встроить проверку архива и подписи в агенте при USB-импорте (поверх `verify_package.py`).,Команда агент,2025-10-18,agent; security,3. Киоск: кэш и офлайн-доставка,docs/internal/update-security-boards-backlog.md
Provision quarantine directory,"Создать `/data/updates/quarantine`, настроить ротацию логов и политики очистки.",Команда агент,2025-10-28,agent; operations,3. Киоск: кэш и офлайн-доставка,docs/internal/update-security-boards-backlog.md
Define update-agent.log format and shipping,"Утвердить JSONL формат, подключить shipper для отправки в центральное хранилище.",Agent; SecOps,2025-10-22,logging; agent,4. Аудит и журналы,docs/internal/update-security-boards-backlog.md
Maintain signing.log in secure vault,"Развернуть защищённое хранилище для `logs/signing.log`, определить процедуру выгрузки и проверки.",Release инженер,2025-10-20,security; logging,4. Аудит и журналы,docs/internal/update-security-boards-backlog.md
Select retention storage for audit logs,"Выбрать хранилище (Azure Log Analytics/Loki), задокументировать процедуру удаления по истечении 24 месяцев.",SecOps,2025-10-31,retention; logging,4. Аудит и журналы,docs/internal/update-security-boards-backlog.md
Deliver revoked-keys.json distribution,"Реализовать JSON `revoked-keys.json`, настроить доставку на агенты и CDN.",DevOps; Agent,2025-11-07,key-management; security,5. Ротация и отзыв ключей,docs/internal/update-security-boards-backlog.md
Document re-signing checklist,Дополнить `docs/internal/update-playbook.md` разделом «Инциденты» с процедурой переупаковки.,Release инженер,2025-10-25,incident-response,5. Ротация и отзыв ключей,docs/internal/update-security-boards-backlog.md
Configure incident runbook and paging,"Настроить runbook остановки выпуска, интеграцию с PagerDuty, шаблон уведомления операторов.",SecOps,2025-10-25,incident-response,6. Инцидент-менеджмент,docs/internal/update-security-boards-backlog.md
Prepare operator communication templates,"Создать email- и SMS-шаблоны уведомлений в CRM, задокументировать процедуру.",Support,2025-10-25,communications; incident-response,6. Инцидент-менеджмент,docs/internal/update-security-boards-backlog.md
